Info: [VCS_SAVE_RESTORE_INFO] ASLR (Address Space Layout Randomization) is detected on the machine. To enable $save functionality, ASLR will be switched off and simv re-executed.
Please use '-no_save' simv switch to avoid re-execution or '-suppress=ASLR_DETECTED_INFO' to suppress this message.
Chronologic VCS simulator copyright 1991-2024
Contains Synopsys proprietary information.
Compiler version W-2024.09-SP2-5_Full64; Runtime version W-2024.09-SP2-5_Full64;  May  4 12:16 2026
t=0 pxl_in=0 | pxl_out=x valid=0
t=10000 pxl_in=0 | pxl_out=0 valid=0
t=31000 pxl_in=127 | pxl_out=0 valid=0
t=50000 pxl_in=127 | pxl_out=127 valid=0
t=70000 pxl_in=127 | pxl_out=381 valid=0
t=71000 pxl_in=128 | pxl_out=381 valid=0
t=90000 pxl_in=128 | pxl_out=x valid=0
t=110000 pxl_in=128 | pxl_out=511 valid=0
t=130000 pxl_in=128 | pxl_out=512 valid=0
t=131000 pxl_in=129 | pxl_out=512 valid=0
t=150000 pxl_in=129 | pxl_out=513 valid=0
t=170000 pxl_in=129 | pxl_out=515 valid=0
t=171000 pxl_in=128 | pxl_out=515 valid=0
t=190000 pxl_in=128 | pxl_out=x valid=0
t=210000 pxl_in=128 | pxl_out=513 valid=0
t=211000 pxl_in=127 | pxl_out=513 valid=0
t=230000 pxl_in=127 | pxl_out=511 valid=0
t=231000 pxl_in=126 | pxl_out=511 valid=0
t=250000 pxl_in=126 | pxl_out=635 valid=0
t=251000 pxl_in=125 | pxl_out=635 valid=0
t=270000 pxl_in=125 | pxl_out=885 valid=0
t=290000 pxl_in=125 | pxl_out=1010 valid=0
t=291000 pxl_in=126 | pxl_out=1010 valid=0
t=310000 pxl_in=126 | pxl_out=1012 valid=0
t=311000 pxl_in=128 | pxl_out=1012 valid=0
t=330000 pxl_in=128 | pxl_out=1017 valid=0
t=350000 pxl_in=128 | pxl_out=1023 valid=0
t=351000 pxl_in=126 | pxl_out=1023 valid=0
t=370000 pxl_in=126 | pxl_out=1025 valid=0
t=371000 pxl_in=123 | pxl_out=1025 valid=0
t=390000 pxl_in=123 | pxl_out=1018 valid=0
t=391000 pxl_in=118 | pxl_out=1018 valid=0
t=410000 pxl_in=118 | pxl_out=1003 valid=0
t=411000 pxl_in=115 | pxl_out=1003 valid=0
t=430000 pxl_in=115 | pxl_out=985 valid=0
t=431000 pxl_in=116 | pxl_out=985 valid=0
t=450000 pxl_in=116 | pxl_out=972 valid=0
t=451000 pxl_in=118 | pxl_out=972 valid=0
t=470000 pxl_in=118 | pxl_out=969 valid=0
t=471000 pxl_in=119 | pxl_out=969 valid=0
t=490000 pxl_in=119 | pxl_out=972 valid=0
t=491000 pxl_in=118 | pxl_out=972 valid=0
t=510000 pxl_in=118 | pxl_out=975 valid=0
t=511000 pxl_in=116 | pxl_out=975 valid=0
t=530000 pxl_in=116 | pxl_out=976 valid=0
t=531000 pxl_in=115 | pxl_out=976 valid=0
t=550000 pxl_in=115 | pxl_out=975 valid=0
t=551000 pxl_in=113 | pxl_out=975 valid=0
t=570000 pxl_in=113 | pxl_out=969 valid=0
t=571000 pxl_in=112 | pxl_out=969 valid=0
t=590000 pxl_in=112 | pxl_out=956 valid=0
t=591000 pxl_in=110 | pxl_out=956 valid=0
t=610000 pxl_in=110 | pxl_out=937 valid=0
t=611000 pxl_in=107 | pxl_out=937 valid=0
t=630000 pxl_in=107 | pxl_out=913 valid=0
t=631000 pxl_in=105 | pxl_out=913 valid=0
t=650000 pxl_in=105 | pxl_out=893 valid=0
t=651000 pxl_in=104 | pxl_out=893 valid=0
t=670000 pxl_in=104 | pxl_out=886 valid=0
t=671000 pxl_in=129 | pxl_out=886 valid=0
t=690000 pxl_in=129 | pxl_out=913 valid=0
t=710000 pxl_in=129 | pxl_out=965 valid=0
t=711000 pxl_in=130 | pxl_out=965 valid=0
t=730000 pxl_in=130 | pxl_out=988 valid=0
t=731000 pxl_in=131 | pxl_out=988 valid=0
t=750000 pxl_in=131 | pxl_out=985 valid=0
t=770000 pxl_in=131 | pxl_out=982 valid=0
t=771000 pxl_in=132 | pxl_out=982 valid=0
t=790000 pxl_in=132 | pxl_out=978 valid=0
t=810000 pxl_in=132 | pxl_out=974 valid=0
t=811000 pxl_in=131 | pxl_out=974 valid=0
t=830000 pxl_in=131 | pxl_out=966 valid=0
t=831000 pxl_in=130 | pxl_out=966 valid=0
t=850000 pxl_in=130 | pxl_out=953 valid=0
t=851000 pxl_in=129 | pxl_out=953 valid=0
t=870000 pxl_in=129 | pxl_out=941 valid=0
t=871000 pxl_in=128 | pxl_out=941 valid=0
t=890000 pxl_in=128 | pxl_out=958 valid=0
t=891000 pxl_in=127 | pxl_out=958 valid=0
t=910000 pxl_in=127 | pxl_out=1003 valid=0
t=911000 pxl_in=126 | pxl_out=1003 valid=0
t=930000 pxl_in=126 | pxl_out=1025 valid=0
t=931000 pxl_in=125 | pxl_out=1025 valid=0
t=950000 pxl_in=125 | pxl_out=1024 valid=0
t=951000 pxl_in=126 | pxl_out=1024 valid=0
t=970000 pxl_in=126 | pxl_out=1025 valid=0
t=971000 pxl_in=128 | pxl_out=1025 valid=0
t=990000 pxl_in=128 | pxl_out=1030 valid=0
t=1010000 pxl_in=128 | pxl_out=1037 valid=0
t=1011000 pxl_in=125 | pxl_out=1037 valid=0
t=1030000 pxl_in=125 | pxl_out=1036 valid=0
t=1031000 pxl_in=120 | pxl_out=1036 valid=0
t=1050000 pxl_in=120 | pxl_out=1022 valid=0
t=1051000 pxl_in=118 | pxl_out=1022 valid=0
t=1070000 pxl_in=118 | pxl_out=1003 valid=0
t=1090000 pxl_in=118 | pxl_out=990 valid=0
t=1091000 pxl_in=120 | pxl_out=990 valid=0
t=1110000 pxl_in=120 | pxl_out=986 valid=0
t=1111000 pxl_in=122 | pxl_out=986 valid=0
t=1130000 pxl_in=122 | pxl_out=988 valid=0
t=1131000 pxl_in=121 | pxl_out=988 valid=0
t=1150000 pxl_in=121 | pxl_out=989 valid=0
t=1151000 pxl_in=119 | pxl_out=989 valid=0
t=1170000 pxl_in=119 | pxl_out=985 valid=0
t=1171000 pxl_in=117 | pxl_out=985 valid=0
t=1190000 pxl_in=117 | pxl_out=981 valid=0
t=1191000 pxl_in=115 | pxl_out=981 valid=0
t=1210000 pxl_in=115 | pxl_out=978 valid=0
t=1230000 pxl_in=115 | pxl_out=971 valid=0
t=1231000 pxl_in=114 | pxl_out=971 valid=0
t=1250000 pxl_in=114 | pxl_out=957 valid=0
t=1251000 pxl_in=112 | pxl_out=957 valid=0
t=1270000 pxl_in=112 | pxl_out=938 valid=0
t=1271000 pxl_in=108 | pxl_out=938 valid=0
t=1290000 pxl_in=108 | pxl_out=920 valid=0
t=1291000 pxl_in=109 | pxl_out=920 valid=0
t=1310000 pxl_in=109 | pxl_out=911 valid=0
t=1311000 pxl_in=132 | pxl_out=911 valid=0
t=1330000 pxl_in=132 | pxl_out=938 valid=0
t=1350000 pxl_in=132 | pxl_out=990 valid=1
t=1351000 pxl_in=133 | pxl_out=990 valid=1
t=1370000 pxl_in=133 | pxl_out=1012 valid=1
t=1390000 pxl_in=133 | pxl_out=1007 valid=1
t=1410000 pxl_in=133 | pxl_out=1000 valid=1
t=1411000 pxl_in=134 | pxl_out=1000 valid=1
t=1430000 pxl_in=134 | pxl_out=995 valid=1
t=1450000 pxl_in=134 | pxl_out=994 valid=1
